UNITID,TUITION1,FEE1,TUITION2,FEE2,TUITION3,FEE3,CHG2AY3,CHG3AY3,CHG8AY3,CHG9AY3 
217934,17791,800,17791,800,17791,800,20690,20690,8144,5090
217961,19500,1000,19500,1000,19500,1000,20500,20500,5500,5500
217989,5408,240,5408,240,10815,240,5648,11055,6516,6516
217998,34435,2100,34435,2100,34435,2100,36510,36510,1400,11800
218025,4606,160,4870,160,6742,160,5030,6902,3312,3312
218043,9900,750,9900,750,9900,750,10650,10650,4369,2345
218061,10384,776,10384,776,20768,776,11160,21544,3716,3716
218070,51712,380,51712,380,51712,380,52092,52092,1970,1970
218113,4416,362,4824,362,9048,362,5186,9410,2973,2973
218140,4104,268,5088,268,8352,268,5356,8620,3140,3140
218229,10700,1000,10700,1000,20300,1000,11700,21300,2770,2770
218238,25200,1100,25200,1100,25200,1100,26300,26300,3807,10500
218335,15622,1325,15622,1325,24508,1325,.,.,.,.
218353,4512,276,5640,276,13536,276,5916,13812,4989,4989
218399,13420,1560,13420,1560,13420,1560,14980,14980,4300,4000
218414,25650,2500,25650,2500,25650,2500,28150,28150,3606,3606
218441,22050,0,22050,0,22050,0,22050,22050,5660,4940
218487,4560,170,5544,170,7320,170,5714,7490,6000,6300
218520,4302,245,5070,245,6348,245,5315,6593,7982,7982
218539,37400,2860,37400,2860,37400,2860,40260,40260,3070,3070
218645,10398,362,10398,362,20856,362,10760,21218,3870,3870
218654,10344,386,10344,386,21390,386,10730,21776,4739,4187
218663,12288,400,12288,400,33528,400,12688,33928,4386,4386
218672,7158,400,7158,400,17838,400,7558,18238,6915,4313
218681,7158,400,7158,400,17838,400,7558,18238,6915,4313
218690,7158,400,7158,400,17838,400,7558,18238,6915,4313
218706,7158,400,7158,400,17838,400,7558,18238,6915,4313
218724,11460,180,11460,180,27214,180,11640,27394,3992,3980
218733,9528,1532,9528,1532,20218,1532,11060,21750,8000,8000
218742,11208,375,11208,375,22710,375,11583,23085,4665,3902
218751,.,.,.,.,.,.,.,.,.,.
218821,15750,1790,15750,1790,15750,1790,17540,17540,4240,4240
218830,4752,150,5880,150,9672,150,6030,9822,3492,3492
218858,5475,240,6354,240,8776,240,6594,9016,1635,4178
218885,4256,192,5600,192,10016,192,5792,10208,3697,6397
218894,4529,119,5024,119,8571,119,5143,8690,2696,2696
218919,11630,1000,11630,1000,11630,1000,12630,12630,5900,4400
218955,4488,192,4608,192,8400,192,4800,8592,6865,4806
218964,15306,530,15306,530,29636,530,15836,30166,8432,3184
218973,46010,1640,46010,1640,46010,1640,47650,47650,3769,3262
218991,4416,619,4776,619,9720,619,5395,10339,6420,6420
219000,34934,950,34934,950,34934,950,35884,35884,8440,6300
219046,7541,1131,7541,1131,10611,1131,8672,11742,4500,4500
219082,7541,1995,7541,1995,10611,1995,9536,12606,5807,5010
219091,28700,1070,28700,1070,28700,1070,29770,29770,1850,3010
219143,3630,3232,3630,3232,3630,3232,6862,6862,3040,3040
219170,2600,0,2600,0,2600,0,.,.,.,.
219189,3993,3366,3993,3366,3993,3366,7359,7359,2550,2450
219198,26926,2210,26926,2210,26926,2210,29136,29136,5138,3712
219204,14985,0,14985,0,14985,0,14985,14985,210,210
219240,3600,0,3600,0,3600,0,3600,3600,2500,2500
219259,7540,1210,7540,1210,10611,1210,8750,11821,4200,4200
219277,2016,668,2016,668,2016,668,2684,2684,4450,4450
219295,20995,380,20995,380,20995,380,21375,21375,2987,2987
219338,2000,500,2000,500,2000,500,.,.,.,.
219347,7740,3280,7740,3280,12120,3280,11020,15400,4400,4400
219356,7697,1503,7697,1503,11172,1503,9200,12675,4714,3536
219374,2640,514,2640,514,2640,514,3154,3154,7000,7000
219383,19170,350,19170,350,19170,350,19520,19520,4225,2835
219408,3850,660,3850,660,3850,660,4510,4510,3000,6000
219426,3630,3840,3630,3840,3630,3840,7470,7470,4506,5531
219471,7697,1635,7697,1635,11172,1635,9332,12807,5928,4560
219480,3388,4886,3388,4886,3388,4886,8274,8274,2350,2350
219505,11160,1314,11160,1314,11160,1314,12474,12474,4430,4430
219602,6720,1583,6720,1583,12264,1583,8303,13847,6562,6562
219639,11112,1460,11112,1460,11112,1460,12572,12572,3959,3959
219709,35310,1720,35310,1720,35310,1720,37030,37030,5130,5230
219718,12351,1260,12351,1260,12351,1260,17010,17010,4620,4620
219790,16900,150,16900,150,16900,150,17050,17050,2700,2700
219806,28200,1300,28200,1300,28200,1300,29500,29500,3232,3232
219824,4032,326,4032,326,16608,326,4063,15727,4200,4200
219833,33900,980,33900,980,33900,980,34880,34880,3190,3190
219842,2400,196,2400,196,2400,196,.,.,.,.
219879,4032,306,4032,306,16608,306,4338,16914,4080,4080
219888,4242,340,4242,340,17448,340,4582,17788,3467,3457
219949,24336,1050,24336,1050,24336,1050,25386,25386,6880,12370
219976,32080,2664,32080,2664,32080,2664,34744,34744,4000,4000
220002,20724,0,20724,0,20724,0,20724,20724,5580,5580
220057,4032,306,4032,306,16608,306,4338,16914,2580,3705
220075,7340,1919,7340,1919,25487,1919,9259,27406,6870,5520
220118,10665,25,10665,25,10665,25,10690,10690,7861,5581
220181,20220,1912,20220,1912,20220,1912,22132,22132,3000,3000
220206,19582,0,19582,0,19582,0,19582,19582,7900,5500
220215,22950,0,22950,0,22950,0,22950,22950,3000,2000
220400,4032,292,4032,292,12576,4324,4324,16900,4720,4720
220464,10523,1060,10523,1060,10523,1060,11583,11583,2500,2500
220473,16400,1890,16400,1890,16400,1890,18290,18290,3310,3310
220516,30106,1734,30106,1734,30106,1734,31840,31840,6800,6130
220552,16450,525,16450,525,16450,525,16975,16975,4023,3823
220598,9270,2520,9270,2520,9270,2520,11790,11790,2500,2500
