UNITID,F3A01,F3A02,F3E03A1,F3E03B1,F3C01,F3C06,F3B02,F3C03A,F3C03B,,,,
191205,22567935,7039515,388773,1795326,1592767,0,12827375,1732649,0,,,,
191287,,,202870,1475467,551576,0,,0,0,,,,
191728,,,35994,32799,3358510,0,,0,1572438,,,,
191959,1332852,191580,152690,152690,314390,0,1526902,140029,0,,,,
192004,2521303,984690,36533,72007,1504239,0,3745246,950147,0,,,,
192271,19787484,15735991,3357667,6071599,2679118,7496675,50571558,547301,0,,,,
192484,,,59950,96732,207660,0,,0,0,,,,
192509,11418260,7355767,1151500,740291,7525290,0,12515509,1837029,0,,,,
192688,4966999,600360,1410322,816441,3708670,0,10544345,1049781,0,,,,
193186,,,85000,500,142320,0,,0,0,,,,
193201,12920590,5967572,1393459,9823439,9638838,0,29375539,2203418,0,,,,
193265,,,80526,409447,208760,193311,,13245,0,,,,
193308,113458216,53142764,3466094,25570202,22134929,35321454,94285926,13895523,0,,,,
193672,,,10221,10221,162176,0,,0,0,,,,
193858,2258053,987352,399169,244488,1516693,0,3888412,0,0,,,,
193991,,,0,6251,100509,0,,27078,0,,,,
194435,,,0,87855,489601,0,,51755,4547,,,,
194499,7873000,50000,556000,3821000,4375000,0,17704000,1763000,0,,,,
195067,,,0,253565,1396273,0,,86652,0,,,,
195784,,,0,857763,1876539,11903,,457453,7278,,,,
196389,9021453,4862073,1141590,1782003,2653773,0,15618080,1076962,0,,,,
197151,255694190,182217930,12614101,16074942,3451667,29221394,164682435,341250,0,,,,
197285,5661036,1849830,1523054,5060953,4200909,0,15674123,1673303,0,,,,
197337,,,99070,99070,235270,0,,0,0,,,,
198190,,,41568,33099,97093,0,,0,0,,,,
198844,,,347331,63151,493937,0,,0,0,,,,
198978,1260846,2238527,2962130,1732314,13219722,0,25056173,0,0,,,,
199005,,,5500,10656,63995,0,,0,0,,,,
199078,,,0,0,588145,0,,0,21966,,,,
199689,,,117131,188003,679696,0,,0,12000,,,,
199980,,,135621,86797,609917,0,,0,0,,,,
200013,1438559,277956,1950514,5290090,602901,0,11199627,105005,4605,,,,
200110,,,29918,64572,139256,0,,0,0,,,,
