UNITID,F1A06,F1A13,F1C051,F1C061,F1E01,F1E03,F1E04,F1E08,F1N07   
161581,15465877,792812,1187223,1599775,974900,168750,0,67898,7900748
161688,44419231,6168814,7557907,2893119,4153344,798047,0,7317798,37589514
161767,151223177,90323573,20492473,14922755,9718123,1495242,0,8583592,141192949
161864,89445849,49037033,8392185,6149180,8452050,806563,1287720,7119658,68543457
161873,243173013,75158306,13751962,10056185,3811385,1372722,0,13637212,117533129
162007,383037676,93864943,20734064,13001474,12690372,0,0,16160295,133304037
162104,63836447,2441573,3223584,5868143,2364592,433397,242587,2247226,34470012
162122,153099364,16872511,8032895,6455297,5111257,1100055,0,1749267,80237731
162168,70760709,5137380,1548121,3229362,2417259,204342,0,2607928,30677877
162283,332827620,89391790,8502375,6685416,6735990,182205,5500,9667940,87451082
162557,106130442,11496328,1497920,9851008,4408744,553104,0,1676440,64635255
162584,245823901,115900917,12041921,5344821,7384180,110456,0,8353602,116352536
162609,45427161,9532908,1185033,3375843,1325765,20584,550000,1689705,16653083
162690,132107538,8906573,2943243,4785001,5874575,483193,327331,3625151,44139834
162706,146903222,12442266,6287889,8825345,5168132,926617,0,6103086,63822687
162779,336585554,76027030,16068308,12166254,10586981,1262173,0,13199137,119289675
163204,555478762,139410378,73848404,146510669,49721856,3771580,0,46756990,460231655
163259,1500607335,580304101,66900095,13526941,1128374,2914590,0,32534795,1276487959
163268,853132435,322450031,27763221,26620148,15716042,9415236,482898,26090532,473467544
163286,3274086980,1185403002,227593651,63263441,26557634,13966,57395,116349482,2144807640
163338,231608516,66699162,8698799,6133122,6006486,0,0,12374575,117094612
163426,766336818,253048591,50989306,40134984,24229010,838688,935622,31460965,352366337
163453,637782305,169940678,24603911,9452146,16835919,0,0,17361107,260626967
163657,315301970,30851287,28864713,13713539,17861211,638503,24726,15305618,144749838
163851,591721778,163259284,18994889,8619345,8775599,0,0,21245455,188797165
163912,222975993,57710067,2595623,10130663,1549350,0,0,6788646,67951789
164076,1340732910,546552057,42003111,26946751,28863908,201318,34039,54722872,437948270
164146,659979957,83037238,10988001,0,,,,,23321809
164155,,,60601969,140766340,0,0,0,0,
164313,78564815,8119573,5025372,3593336,4706155,561405,79998,4606632,34901658
164535,,,178616,0,120077,0,3886,202963,
164775,53756231,7235000,4428926,4681684,2751326,710269,0,3548421,28737597
165024,223048599,235126970,28035754,25753871,15379861,5315249,0,19588982,212943884
165033,114573910,32902947,10369693,11267553,12871788,1087783,0,8979325,75193568
165112,82206430,62670060,13641798,16691186,20824195,1736275,11994,18092681,109736750
165194,34536824,17287831,4776470,7106384,3627557,1783712,0,5663413,38821911
165608,,,105000,10000,181252,9450,0,150065,
165820,239488830,117521170,11635206,20969605,6640115,2612299,0,10420285,118962235
165866,218549374,93307445,15578827,14531530,6561157,2936325,0,9920408,116704385
165981,38408280,8973538,3817425,4845088,2219690,766831,0,2760498,27631924
166133,102661458,44358125,4105354,10535285,8914090,2441602,148433,9610709,0
166513,1065877000,636499000,53098000,48098000,19210000,5373000,0,67631000,486480000
166629,2930957000,1456134000,96132957,73545414,25937153,2218000,0,160428858,1329105771
166638,1088693000,553634000,46429000,37692000,26409000,7302000,49000,69974000,438957000
166647,33281920,15023312,4916902,6660564,4094089,1212319,0,2043535,47944144
166665,382967000,160573000,0,0,,,,,118296000
166674,123503684,40804432,7164322,6381082,2532426,1224732,0,10574690,80721758
166692,123900293,24387004,8319293,10668280,1183743,1324293,0,3302643,74447004
166708,1147881878,477379634,14750755,9586667,0,0,0,5139095,870483132
166823,72069978,41504233,11495262,8719819,8719306,813242,0,3432057,69134911
166887,94134905,27729107,9458337,11586053,8610245,3790599,0,12748694,68991679
166957,80422841,37356668,5274828,11994037,6838012,1468122,0,6328306,50959395
167288,86944197,22189626,5663137,7072887,2686538,1038220,0,6124775,51967735
167312,115372811,33852220,7959821,10468834,8957533,1382702,0,9175764,3470409
167376,85929420,33568782,8609628,11252694,8781960,2472488,0,8886844,64195852
167525,15827994,37410833,1278359,3143110,6725146,236650,0,5272614,29213369
167534,79122044,41759081,6764068,12499040,13227856,5299886,428472,20387402,77264217
167631,81969449,13954691,4051556,3301516,4229418,599746,0,4887373,29488684
167729,220187850,185878718,17728372,20138169,11180647,3516728,0,18637194,194364427
167871,,,376354,134845,258235,5150,0,283860,
167905,104803771,18148977,13558984,12426456,11347135,2620420,0,13235378,70018956
167987,467869000,288487000,31344000,20932000,11578879,3743972,0,39466654,252041000
168263,180228048,148685154,14955788,17668765,7360837,2735276,0,7585840,141684005
168430,159935181,95505089,6152467,11188502,7471906,4711981,0,9090786,111769573
168607,30259988,40696380,1581399,3062111,2121618,790006,0,1905306,21702100
168883,40363258,38422828,2136118,1866954,2624551,622136,0,2425406,24087569
169248,1092755073,453171601,56428487,27275374,22981973,93890,0,58984591,508689803
169275,238313897,213061567,10216214,11835215,13325709,21000,0,11385313,96108429
169521,226809602,153298190,8629151,8955935,12983570,83778,0,7417050,97489846
169798,752558667,656566983,29287442,22866372,26328047,1532326,0,55978588,342717294
169910,584829823,318611532,25902796,18822402,19693172,476335,0,33513870,252532077
169974,30400561,20775302,1179032,3605074,1360803,316874,0,1370349,14312687
169992,15419884,16915387,959630,2048583,1432168,19103,0,1448053,12369936
170055,244370424,277266242,14753230,13022287,15662290,0,0,10143094,141129000
170082,1334380990,453446294,57878764,37568554,26754857,0,0,68712747,475318525
170240,136704792,239129425,8029716,12590432,26616074,4098805,0,26623771,109924963
170444,104832318,81481689,4234311,8131537,10834056,2731969,0,14494818,48861290
170541,154661245,106434749,7783488,9970909,9283581,0,0,4773758,82064521
170550,93585036,83555004,7639002,4830856,5938316,0,0,4881016,53514508
170587,65325340,60126050,3104833,3369924,2381522,0,0,1275406,19704611
170620,129130153,68069442,5097038,6072374,3853988,49045,0,3119942,41281887
170639,108081945,69591285,3822527,2947084,2772040,17073,0,7966673,53184141
170657,319110326,344936255,23379284,15380410,13208068,2246288,0,16674804,144495493
170790,409221855,297526214,23677352,18356502,23904114,4287,0,14400000,171495614
170976,23155618000,9117167000,469707000,129718000,29155000,0,0,434326000,8907074000
171100,6985097449,4658596197,178638499,65716621,44595920,34129000,0,173617203,2781577961
171128,478991409,215046577,24729827,16301852,5383769,3957000,0,41545008,259825298
171137,289584000,89873000,25797000,13430000,14193000,313000,0,36029000,157397000
171146,273232000,27645000,14685000,9474000,10140000,7000,0,18221000,128489000
171155,74773069,60000802,2623185,5373428,5712759,40145,272588,4312201,33952256
171225,82955190,66771910,4972466,4756402,2569942,0,0,2357407,34749087
171234,42244483,33679044,2404259,856720,1871406,422354,0,1457751,18623399
171304,85360471,100120411,5771376,6878278,4964025,1697567,0,7144274,50650249
171395,54473971,22175269,2262906,2752540,2236554,22446,0,2877551,18998250
171456,487387422,204041175,15428094,19480408,10793567,6562994,0,28444948,177287596
171483,121663147,108401645,9382794,9306779,4286174,97550,0,3057180,61618106
171535,503227483,277024159,19942660,23230267,14584483,1197634,0,10925887,154144798
171571,1065713448,542013579,58438408,41113283,23280756,665698,0,70946046,362603004
172051,428381795,126088043,16133508,14256857,11930305,600,0,26232378,141500803
172200,193050628,254741222,15067958,11308818,11574164,846119,0,9800749,119983962
172291,79933679,59684926,5170039,6491397,4706241,64473,0,3348105,38366846
172307,75588520,41143621,3140759,3747139,3573470,718199,0,3361390,27404025
172422,,,0,3680037,310527,0,0,346774,
172617,193840237,212392682,14771794,14226727,12743621,0,16585,5769258,121566728
172635,387550180,212783624,17615980,21485509,19635209,2020083,0,12033379,136735354
172644,1861681000,971825000,101601000,48573000,37944000,2595000,0,127821000,894767000
172671,50244374,19846450,1688270,1919056,1609931,322054,0,1200000,20199241
172699,1224992438,847994307,60709210,23153970,24130654,668327,27600,61492115,600529331
172918,43006000,14570000,2614000,3439000,2266000,1059000,0,2946000,27798000
172954,28625000,9944000,2354000,2527000,2485000,912000,0,3004000,22282000
172963,92654000,33508000,9601000,10149000,8161000,2082000,0,8591000,65121000
173063,40898000,21541000,3517000,5808000,4165000,1400000,0,4975000,33112000
173115,9453000,4392000,711000,662000,1404000,473000,0,1584000,8663000
173124,130684000,56426000,10552000,16024000,5950000,4039000,0,13232000,84036000
173203,51511000,18614000,4384000,7532000,3911000,1454000,0,4681000,40528000
173416,55114000,16615000,3735000,5785000,3134000,1324000,0,4264000,32122000
173461,62934000,20334000,4055000,6080000,4407000,1309000,0,4977000,45736000
173559,75086000,29245000,4356000,8352000,7071000,1437000,0,7975000,51281000
173638,45466000,18826000,3302000,5839000,3603000,905000,0,4092000,31370000
173708,62653000,31986000,6309000,9226000,5882000,1720000,0,6318000,53455000
173735,32409000,11643000,1540000,2607000,1855000,480000,0,2052000,16505000
173799,63346000,18150000,5000000,6456000,4103000,1371000,0,4535000,38209000
173805,27144000,9271000,927000,3291000,1609000,389000,0,1714000,16483000
173911,47757000,22678000,4586000,5995000,4907000,1619000,0,5461000,38366000
173920,393292000,185858000,32503000,34498000,13938000,9217000,0,25947000,262645000
173993,18519000,9542000,959000,3250000,1753000,405000,0,1831000,13970000
174020,143863000,76583000,26215000,8713000,14497000,5617000,0,19710000,98564000
174066,5989625787,2415082120,497218772,138320796,29930480,43467005,0,267340467,4355471062
174075,51440666,4630591,3462046,3754537,2585363,1961310,0,7194914,37055500
174136,136987000,42753000,10135000,12067000,12583000,2902000,0,12293000,67563000
174233,398155757,33002809,31122120,19788728,8920023,13528590,4995,37164579,246887262
174251,59560802,5471146,5791531,6443605,2147046,2663125,0,7240602,54032748
174358,172257000,79233000,14506000,14902000,6283000,3674000,0,14168000,104990000
174376,97860000,30751000,8521000,7817000,7644000,1947000,0,7823000,53031000
174428,163323000,59486000,11919000,9557000,12530000,3813000,0,13592000,81305000
174473,48737000,17528000,4564000,5127000,3960000,614000,0,4160000,34124000
174570,12334000,6942000,1282000,1941000,1588000,880000,0,1668000,13572000
174604,5339000,2104000,330000,1026000,410000,56000,0,409000,4137000
174738,120488000,33698000,7355000,7495000,6580000,1859000,0,7185000,53941000
174756,77372000,22171000,5154000,5635000,7505000,2264000,0,8088000,43561000
174783,312081000,133360000,23135000,26881000,13279000,7609000,0,24915000,208108000
175041,112697000,42310000,5987000,10728000,12608000,2727000,0,12713000,62357000
175078,84170000,30235000,5054000,11233000,3299000,1684000,0,7271000,58805000
175157,15519000,8057000,687000,2104000,935000,266000,0,1125000,9452000
175236,57304000,23005000,3439000,5780000,4943000,1784000,0,5765000,41916000
175263,19395000,11372000,2794000,2152000,2034000,509000,0,2400000,19908000
175272,258118000,97072000,16156000,15931000,8010000,5494000,0,17997000,153847000
175315,87274000,40254000,10054000,12614000,13006000,3349000,0,13594000,80701000
175342,230217726,138365369,6785390,7239731,12423526,0,0,13814213,91910279
175519,64062907,37103079,1873961,3847347,8499966,155695,0,5137095,34204602
175573,70286090,58008319,839241,5852842,7200134,121288,0,4859883,14406864
175616,137079876,71162012,4575674,5817402,5347589,1227846,741135,5781750,71283067
175643,47101111,39897234,461029,2806255,5831923,998340,0,5011933,29890694
175652,130468376,80067579,354574,4794384,9581990,521474,0,5575030,47621422
175786,230931555,222913411,2045106,12598800,23761864,432446,0,18724443,145750834
175810,82662202,66275534,783088,4029952,13170042,462185,0,9585080,54071127
175829,148248774,69826297,787965,4876276,11753096,768686,488733,3939627,74506479
175856,355125039,259412518,9828185,19915562,19375974,1205068,0,18410045,179401342
175883,83110845,80494917,780086,5134096,9668194,747186,893663,12226315,55117673
175935,64067684,50111233,2730135,3999703,6676774,370204,0,5707894,41453914
175999,113205342,56683372,2807606,0,,,,,77470901
176008,65140498,39430974,457164,2859170,7786820,123980,0,5909076,31860248
176017,3588521751,2963702286,67115376,24644669,21455373,10817106,0,120210607,2251876597
176035,138548474,47905667,11262555,5315693,6307298,1013176,0,6635777,53445447
176044,144443081,67676568,3587482,6965866,6679552,456459,0,8217706,51231308
176071,347654120,199832418,3465587,9835767,21428022,1272922,0,9279630,132082292
176080,1572743804,1003916167,41535368,20064595,31071623,12002137,0,113773593,792579014
176169,70906123,56471081,822526,3995751,9627582,707604,0,7221662,4584805
176178,151331605,115381578,1060498,4846748,15224922,795876,106532,12125997,73758715
176239,136832795,87844850,1304027,5734699,13452297,688438,0,11704536,58991545
176354,60201592,30627395,542016,2980451,6903723,249046,0,5371423,26465958
176372,784794448,477308313,22615581,12188990,28285264,7720055,0,44143998,348513821
176798,,,112351,113519,632213,211929,0,667751,
176965,363276068,260207287,8415958,24088462,12389590,0,0,17437054,197655960
176983,,,302225,137904,191142,84552,0,295444,
177135,72827936,37226443,827419,6917812,6614487,0,0,4802455,44228613
177250,54220035,33085149,3426744,1629109,4128920,1473992,0,4028758,27666142
177436,,,44879,37931,172858,17535,0,190393,
177472,76938392,65709535,12682112,6055820,22102446,0,0,21730075,117923241
177551,68793279,31175846,2845886,3976550,6607268,842772,0,7590161,44092933
177676,61990861,35847297,1373326,4636771,5299170,1883751,0,4675793,42703074
177870,,,0,0,13635,5490,0,21253,
177940,121646922,73904029,3608018,7484788,5396553,0,0,8036351,58241548
177977,64865604,41859228,845190,1962267,2731365,6121538,0,2597005,34564900
177995,233298778,131201425,16007312,19231274,20197864,1066665,0,22955992,129068113
178217,36982922,29625990,3135744,2236418,5130647,1688106,0,4103667,29634193
178341,166860471,128277471,3702594,11977873,11120143,2879859,0,17593271,78648054
178387,126589615,122098983,6828554,11419999,8203996,0,0,12137643,79382992
178396,5247472918,2514101026,89392307,49506889,22520477,16209701,0,145978541,2479943503
178402,724351331,394559861,42498181,20486913,12945789,4049252,0,48494875,387130654
178411,674286323,253389149,10137115,23685810,6412490,6101726,0,55272434,203559228
178420,504217318,254519742,29452119,21045395,12598135,4765175,0,35560457,215781402
178439,4041723863,3301619158,1586069,3433454,,,,,72227425
178448,49117653,20619014,3417715,3838161,7309057,3928899,0,8520956,32143341
178615,339054904,157909772,6532518,10511760,4232087,0,0,23485558,113364461
178624,220157983,157673816,4513453,15672807,8124315,2695387,0,31201506,129604612
178828,,,0,84618,142408,16382,2500,196819,
179052,,,146877,197459,361067,251124,0,740643,
179308,299321794,183943887,16544698,21988694,22402733,909274,0,18443972,195835656
179344,24349437,16319006,1330687,1784832,3063679,890244,0,2727723,17203987
179539,47703000,31895645,4935562,4231047,7259828,3260670,0,7122449,48152151
179557,530988466,332814695,10042157,19545117,14446344,4270577,0,23824053,183380049
179566,760486557,535534298,27351801,13500950,24551277,9370801,0,35980758,377544470
179645,79330348,42376575,1606965,4547939,7165087,0,0,7015190,23960409
179715,43573423,11853661,836838,1624902,3389102,1740147,0,815971,22144109
180151,12622924,7082086,129516,1340916,506267,0,0,524315,8961070
180160,17171500,5363836,29246,1645103,324821,0,0,59502,7222933
