UNITID,SCUGFFN,SCUGFFP,UAGRNTP,UAGRNTT,UPGRNTP,UPGRNTT,UFLOANP,UFLOANT
449612,15,14,73,359136,66,305693,70,232100
449658,26,21,68,575004,28,240459,0,0
449676,169,53,71,1202987,69,1116523,81,1675250
449685,457,96,88,1969331,85,1884041,82,2055855
449700,101,35,79,851816,79,851816,77,625211
449719,32,14,66,1521964,53,539737,52,898243
449728,13,11,56,206241,49,180411,64,360017
449764,121,34,65,1264165,44,682202,62,2135549
449773,206,60,79,1240676,55,674298,68,1000647
449782,34,45,93,150580,93,150580,93,238500
449807,76,75,61,304358,61,304358,80,380700
449816,33,4,41,1116364,20,634450,0,0
449834,0,0,0,0,0,0,0,0
449861,148,42,74,2100584,59,733106,67,1349897
449870,7,5,84,1230118,37,270562,33,348228
449898,17,3,82,2385792,55,1202850,67,3329944
449904,180,87,82,820109,79,766409,74,872955
449931,4,2,43,366325,33,251733,61,1140462
449959,58,18,73,908512,57,826877,57,1395359
449968,103,28,74,1983495,56,1019014,55,1775936
449977,30,11,74,780751,53,692818,58,1233785
449986,35,9,63,1407931,48,931476,48,1612139
449995,73,28,70,881044,41,524264,53,1177188
450021,238,67,81,1405834,81,1405041,71,986183
450058,82,9,80,4331857,70,3193077,74,5799264
450067,77,14,85,2869573,81,2259837,76,3255336
450119,199,60,73,995077,72,974851,64,719923
450128,356,48,85,2913445,84,2716855,76,2387264
450298,0,0,69,1132412,68,1096223,83,3004075
450377,2,0,82,5857427,81,5655330,88,13554848
450395,15,6,46,432569,45,408530,69,958391
450401,544,97,64,1800690,61,1407734,71,2401851
450571,18,3,82,2829774,60,1969354,85,5055984
450599,61,44,64,427346,62,372335,53,610501
450605,46,38,63,373102,61,280287,53,541485
450614,52,33,70,534279,67,419277,60,841937
450632,0,0,35,205066,30,164156,34,344663
450641,49,18,55,790399,38,668779,51,949359
450650,66,15,69,1189400,50,1075937,65,2263123
450696,162,31,64,1341401,59,1078807,65,2243424
450702,67,20,66,960108,60,759659,64,1467955
450711,88,90,91,302377,91,302377,91,447626
450720,563,60,85,2949565,56,1780213,68,3091590
450933,166,1,37,15802618,24,12795890,28,26495412
450951,107,48,70,798966,34,286527,50,686945
450960,268,39,67,3345300,65,2097500,39,2265120
450988,210,49,36,684008,33,605356,0,0
451042,15,31,31,6015,31,6015,31,9015
451051,0,0,53,306456,50,249088,54,483967
451097,50,38,38,309750,38,309750,38,225000
451103,255,20,76,3180982,36,1996098,57,5479367
451121,6,3,52,520506,50,431553,50,571523
451149,50,6,57,2247602,55,1941777,61,3277559
451158,153,16,36,1534886,31,1205479,36,2169201
451167,23,13,60,513799,60,504111,69,768984
451194,3,7,49,63742,49,63742,61,117047
451228,175,38,77,2134426,69,1690321,89,3708289
451237,68,30,40,480623,40,480623,54,959652
451255,3,3,47,163320,47,163320,56,232157
451264,29,11,66,1140304,45,650717,35,733294
451282,40,21,59,476778,58,448978,65,876644
451291,0,0,68,46692,68,46692,64,92077
451307,0,0,100,156140,100,156140,87,242626
451316,33,45,81,290718,81,290718,67,350692
451334,244,59,55,1427638,53,880090,70,1730549
451343,21,13,67,582858,67,582858,48,394244
451352,173,32,64,1471240,57,1061032,50,2026695
451370,8,13,94,542321,60,175898,0,0
451398,53,22,92,2884034,53,579268,0,0
451404,92,22,98,5564862,98,3608549,0,0
451413,11,1,36,911929,36,911429,72,1529816
451459,104,77,74,434363,46,242326,45,344823
451468,91,20,69,870014,43,702838,62,1851889
451477,941,24,75,13976503,62,12068056,74,26293229
451495,46,16,80,1101422,80,1101422,57,1651767
451501,148,43,99,2084364,97,1713071,0,0
451529,56,55,96,535095,96,535095,96,451154
451547,30,61,61,127437,61,127437,53,98249
451556,723,50,94,10980111,85,7586575,49,4495059
451565,55,23,70,733360,47,551447,51,952264
451574,77,47,44,330876,44,330876,54,506789
451583,87,8,51,1295889,19,843024,0,0
451626,40,43,54,261739,54,261739,63,458074
451714,56,13,71,1279969,55,1118392,55,2016919
451741,65,29,96,1546219,96,1516765,12,82986
451750,186,13,93,8658587,63,2980328,85,8480785
451820,42,11,85,2221218,48,834007,57,1761564
451857,57,23,74,908977,72,773973,63,1119307
451866,78,23,77,1434097,74,1195345,63,1789914
451918,42,24,67,521541,67,521541,55,786915
451927,65,21,91,4017167,0,0,0,0
452009,16,21,43,205953,31,100040,53,375700
452072,51,43,69,388196,55,283868,50,460346
452081,151,15,79,3790809,74,3421479,51,2495837
452106,23,23,89,531527,89,471096,0,0
452124,48,11,80,1621187,69,1305812,67,2552339
452373,15,6,95,681339,86,605499,97,1340236
452771,0,0,3,3125,0,0,0,0
452780,0,0,19,21875,0,0,0,0
452887,18,18,48,278680,46,243870,52,428836
452948,116,11,52,4826163,51,2314766,81,8782755
453163,3,0,81,21151273,80,20245150,90,50208448
453215,3,0,65,2680562,63,2512936,79,7239317
453297,22,52,33,77217,0,0,0,0
453756,75,26,76,1063090,76,1057005,87,1899264
453792,61,43,96,547085,85,488183,90,945135
454184,123,23,97,12412048,24,566483,77,2636547
454227,20,0,87,36954916,29,12854671,60,72034137
454236,11,2,87,2529724,54,1318020,81,4477325
454245,5,1,76,1582088,41,998698,73,4407055
454306,59,36,83,481949,75,402649,73,682711
454458,30,58,90,275328,90,268828,81,392678
454537,47,65,64,263106,58,249356,79,415902
454546,82,84,77,273302,67,260302,69,419301
454555,276,90,70,784597,58,685112,66,1191406
454582,0,0,39,517914,33,306751,51,1113566
454607,83,20,68,1083644,51,871421,65,1669379
454616,40,21,57,507160,35,151771,60,401299
454652,39,20,74,723870,59,581798,58,915079
454689,0,0,0,0,0,0,0,0
454698,451,56,95,3742646,95,3685208,72,3917251
454722,12,26,70,196897,66,146876,53,66595
454759,5,12,63,127067,63,127067,0,0
454768,19,5,69,1089340,59,895345,54,1495778
454777,14,5,63,808093,50,653661,51,1107842
454786,57,5,69,3950243,69,3863574,75,8508525
454795,81,18,30,405110,27,317453,31,500063
454801,31,21,79,621560,67,532799,74,927796
454810,4913,69,61,18511290,56,16812814,63,31133820
454829,73,2,13,1382751,13,1282751,18,4184398
454847,130,87,87,468890,14,98790,0,0
454856,0,0,45,1302309,24,931935,71,5943335
454865,41,7,61,1524543,61,1469491,69,4567997
454874,29,45,69,202674,69,201174,72,272342
454917,130,13,45,1957829,45,1910532,41,2208444
454926,65,14,63,1638081,61,1541185,58,2156124
454935,46,61,48,331556,45,175469,39,146087
454944,27,10,75,1075915,59,704235,50,922762
454953,10,20,62,116578,62,116578,74,244923
454962,17,26,43,90397,43,90397,52,219584
454971,5,2,26,472582,24,366487,28,705010
454980,8,5,53,379918,49,326066,53,551353
454999,14,8,70,676112,69,597560,66,911133
455008,45,13,72,1293704,69,1148897,57,1606469
455026,38,25,20,93433,20,85933,41,217300
455062,9,12,34,119850,34,119850,46,205446
455071,0,0,58,515450,44,515450,42,518425
455080,46,14,77,1141394,62,934564,59,1474672
455105,7,6,39,193708,39,193708,40,235528
455114,984,9,43,16391903,30,11671489,35,13748501
455141,135,41,62,790611,47,606118,52,1111986
455187,42,20,87,698913,87,698913,90,720898
455196,555,11,60,13173997,59,12401932,77,38162321
455202,90,14,53,987821,26,738050,39,1650460
455211,231,53,61,1033923,61,1033923,62,1781844
455220,56,85,85,278000,73,270000,48,248000
455239,15,75,90,126900,90,126900,90,172476
455257,90,19,94,4624582,80,2280778,0,0
455275,160,38,68,1073899,54,857298,59,1616449
455284,59,15,72,1257141,55,1017424,58,1749558
455327,6,9,100,265309,100,265309,99,358247
455336,96,32,72,1103228,56,806707,66,1513268
455354,100,19,43,1203818,42,1095216,59,2185910
455381,27,18,51,275000,49,245000,55,276002
455460,75,26,81,1170120,80,943227,62,1226819
455479,63,11,77,2269670,67,1842040,67,2730732
455488,155,29,83,2025094,82,1848076,67,2226117
455512,398,10,40,5619826,25,3562818,0,73121
455558,46,51,97,615228,92,532115,92,775890
455628,79,15,81,2520596,80,2115117,69,2673195
455664,0,0,67,666172,58,514959,65,577533
455707,0,0,47,101248,47,34843,78,84027
455725,716,62,77,3954865,76,3859674,83,6122930
455734,60,25,67,964184,67,964184,67,1414735
455761,77,16,68,1292128,63,1212754,60,1825491
455770,35,23,100,3163328,41,296035,77,720955
455798,45,31,63,344527,63,344527,65,546247
455831,113,54,72,549764,67,549764,58,620751
455859,122,31,49,852074,49,816554,57,1701453
455868,142,28,65,2020043,63,1766988,56,2108443
455877,28,16,42,376066,42,343588,48,778913
455886,12,6,59,651464,58,564852,60,891616
455895,23,5,67,1592774,64,1331255,64,1953424
455901,50,18,39,526567,37,517370,46,1024040
455910,42,51,79,247949,63,199311,73,360749
455929,21,25,53,200368,53,200368,63,382979
455956,80,53,82,554279,82,537579,0,0
455965,35,18,53,514852,52,450839,73,888628
455974,161,82,99,1370520,82,997395,77,627405
455983,399,71,50,1585380,46,1241331,4,97518
456001,45,73,82,451688,50,131607,58,206628
456029,27,9,68,1125115,58,946420,62,1471104
456038,216,28,47,1499344,37,1133194,49,2745011
456065,75,29,70,926144,58,764510,64,1353299
456074,65,26,68,714162,48,581216,54,1098753
456126,23,23,62,273193,61,233320,44,381652
456135,48,38,54,292364,53,277323,47,479418
456153,40,28,73,587550,64,467976,67,756272
456205,284,43,71,2525599,69,2068603,60,3425540
456214,202,34,48,1339014,48,1317351,48,2343577
456287,53,52,56,268940,49,230556,74,504612
456454,56,11,75,1975164,64,1512328,79,3667628
456481,3,4,58,50397,58,50397,69,147929
456490,8,5,68,563097,68,556762,69,915377
456506,93,38,69,983088,66,753908,62,1220706
456515,28,46,75,274854,67,212025,74,374160
456551,37,29,40,211753,40,211753,63,443889
456579,280,42,77,3201814,67,2085545,59,3541470
456588,12,22,67,203216,61,182870,56,211818
456597,74,33,79,895107,73,779132,73,1116743
456621,0,0,80,918423,77,865269,88,2275349
456825,33,16,77,749558,58,542323,57,886071
456852,297,38,72,2499125,71,2092483,72,3359851
456922,222,55,78,1683555,75,1304722,67,1873158
456931,297,51,78,2197761,76,1855261,70,2819691
456959,163,28,72,4167952,35,965059,54,1863556
456968,130,8,23,1679155,23,1679155,26,3016262
456977,37,57,100,460915,100,390000,100,552500
457031,11,12,61,214496,29,127379,64,383023
457077,401,90,86,1738396,83,1681827,82,2356556
457086,12,5,61,744948,61,730574,76,1700464
457101,114,25,70,1289709,59,1019598,71,2540198
457110,75,12,66,1180369,40,849596,70,3929201
457129,1,0,85,3007883,55,1884405,83,7829040
457174,71,37,69,673749,69,619716,60,824050
457192,29,41,100,361183,72,260274,65,361183
457208,121,50,82,1028397,82,928397,90,1388325
457226,6,14,24,23343,19,18584,12,35171
457253,15,11,55,341271,44,298254,24,80667
