,index,UNITID,TYPE,TUITION1_INDISTRICT_UG,FEE1_INDISTRICT_UG,NUM_APPS_ADMIT,TOTAL_AMOUNT_PELL_TOUG,STATE,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,STATEGRANT,LOCAL_GRANT
805,356,157076,0,27320,1220,1771,1702230,SOUTH,1021129,5307568,11334242,18275472
806,399,162283,1,4648,2068,5873,6558996,SOUTH,8502375,6685416,182205,5500
807,1232,490513,0,10400,250,32,45665,NORTH,140693,258685,214697,1252598
808,352,156620,1,9266,610,9206,22205919,SOUTH,28013298,21927439,20140709,0
809,1142,237011,1,7377,1131,10219,15550542,WEST,19749204,27924330,20067247,0
810,1008,220604,0,10776,1300,221,3611820,SOUTH,825729,3750175,1299638,16487642
811,698,195809,0,42530,1600,27917,20487003,NORTH,58130000,49815000,283312000,468043000
812,968,217934,0,17791,800,786,2868317,SOUTH,1125083,4817519,257515,22490480
813,667,192819,0,39925,600,11715,4026762,NORTH,16276316,39426546,81249838,198988153
814,260,147703,1,9466,4926,16690,23883270,MidWest,41953396,26827857,32551197,0
815,1038,225247,0,29526,1838,2308,3133794,SOUTH,1618008,12017415,26808608,53090909
816,333,155317,1,10092,1074,15042,17853696,MidWest,77169964,44865000,7407849,0
817,153,132903,1,4478,1890,47957,105242129,SOUTH,117711560,64823909,126631734,0
818,396,161572,0,11280,1435,885,1416392,NORTH,5428436,3529096,6294022,23735757
819,787,201371,0,33952,550,1504,1214346,MidWest,2864011,4275002,12707567,21926550
820,501,173045,0,39295,710,2746,5797315,MidWest,5982659,16730077,46785232,86166804
821,816,204796,1,10615,903,49087,45655732,MidWest,237834882,89435791,14726390,0
822,1163,238980,0,29433,1344,823,2635705,MidWest,3734217,7302695,11640543,39462182
823,721,196237,1,7070,1052,5780,12120557,NORTH,5727063,10331113,7800338,0
824,373,159647,1,6401,3664,7087,11273461,SOUTH,18740593,7220519,2646747,0
825,590,182290,1,7901,794,9644,20879923,WEST,68900663,56064332,27634273,47718
826,312,153658,1,8073,1533,24132,19986485,MidWest,191504000,51400000,1974000,0
827,825,206491,0,12020,1230,2688,2419030,MidWest,393462,3394043,1168068,16923342
828,598,183062,1,11754,2884,5343,3693170,NORTH,12855124,11476650,248000,0
829,42,107080,0,49140,350,1775,1543058,SOUTH,4040318,9391724,30838058,49009653
830,645,190503,0,32000,2650,1777,3857786,NORTH,16527422,15037659,32386619,142395912
831,28,104717,0,16424,757,48918,124838879,WEST,124506573,439695909,263747125,1183376966
832,522,174899,0,38750,660,1922,2979487,MidWest,6520531,18422520,38177349,82215692
833,990,219259,1,7540,1210,1038,2098566,MidWest,4936021,8129402,304140,0
834,762,199272,0,31950,500,1277,1931723,SOUTH,2208107,5480447,10200810,23854399
835,1195,247773,0,7700,100,14,138557,SOUTH,569615,356514,676435,2674907
836,140,130934,1,7038,1320,11317,10102274,SOUTH,5234985,14721098,2287373,0
837,938,216357,0,31690,1830,1680,1558984,NORTH,1207328,6308471,14522884,24427578
838,704,196051,1,7070,1670,4528,7020989,NORTH,10272263,6111391,5125252,0
839,1036,224545,1,5925,1840,2458,4049769,SOUTH,5279871,5577847,1047627,684166
840,1112,232672,0,30690,420,7188,3350359,SOUTH,1798554,7240251,19723032,43795006
841,407,163338,1,5418,3140,8511,5860965,SOUTH,8698799,6133122,0,0
842,931,215929,0,46684,400,9291,3479861,NORTH,14286845,21290273,79110051,165100332
843,936,216278,0,50500,640,5497,2789541,NORTH,4963504,22200031,71329697,81360370
844,136,130314,0,39636,2100,1579,1566470,NORTH,3821000,6268000,16454000,70597000
845,1098,231581,0,36800,920,3684,2642156,SOUTH,6702065,12692074,42085879,50190989
846,1055,227368,1,7233,1684,12622,86812019,SOUTH,63768843,34780363,9014803,0
847,782,200332,1,8606,1427,7880,9062377,MidWest,36461458,43611878,130000,0
848,445,166513,1,15078,620,12970,18636496,NORTH,53098000,48098000,5373000,0
849,669,192925,0,31000,500,1330,3549476,NORTH,5933450,5099104,21094881,38964637
850,743,198695,0,33358,4722,11266,2107945,SOUTH,8868792,33991870,48447738,199361751
851,272,150066,0,31470,630,3905,2226939,MidWest,3890000,8996000,17484000,43975000
852,1168,239309,0,38050,1510,1448,1744898,MidWest,3666904,2714228,16310430,17688008
853,519,174792,0,47332,834,1595,1547650,MidWest,8934671,10316099,41912148,72602730
854,814,204617,0,32300,580,2190,1965514,MidWest,3064476,6949003,17776346,33604238
855,818,204936,0,32624,450,2849,3074158,MidWest,8095326,10644586,40670820,66186878
856,377,159966,1,4922,3024,3189,10692887,SOUTH,8141913,5650345,14022367,0
857,734,197993,0,15964,2549,2021,1149312,SOUTH,2345212,1431541,4438156,16055950
