,UNITID,TYPE,FORPROFIT,BOARD,FEE1_INDISTRICT_UG,ADMS_REQUIRED_COLLEGEPREP,NUM_APPS_ADMIT,TOTAL_AMOUNT_PELL_TOUG,TEACHER_CERT,TUITION_GURANTEE,TOTAL_ASSETS,TOTAL_SPENT_ACADEMICSUPP,TOTAL_SPENT_STUDENTSS,STATEGRANT,LOCAL_GRANT,Highest_Bachelor,STATE_SOUTH,FULLTIME_RETENTIONRATE_SPRING
70,112084,0,1,1,1188,0,614,968575,1,0,4522812,996936,4150203,4995937,14209553,0,0,59
71,112260,0,0,1,285,1,5306,1162337,0,0,2127714000,8303000,22249000,27531000,130522000,0,0,87
72,113698,0,0,1,720,0,1971,1591496,1,0,120936382,4195307,9744288,27488640,61990754,0,0,87
73,114813,0,1,1,498,0,959,8245526,1,0,81825283,10950010,10149316,15998677,65573886,0,0,71
74,115728,0,1,1,536,0,1884,1549324,1,0,89669403,3811629,7958494,16742573,36422090,0,0,66
75,115755,1,0,1,2122,1,10198,16922430,1,0,294451611,20330139,25710818,13674408,0,0,0,73
76,117104,0,1,1,850,0,116,1176304,0,0,29969229,1073857,3338999,1468402,11758443,0,0,66
77,117140,0,0,1,1150,1,8212,9313491,1,0,435518689,18493785,19889988,55922700,152853312,0,0,78
78,117627,0,1,1,990,1,5113,4095308,1,0,192974775,8258579,7905506,2135935,74985961,0,0,79
79,117751,0,1,1,790,1,1924,1675792,1,0,103536998,2845305,8646095,8695232,41056805,0,0,82
80,117946,0,1,0,757,1,18576,4904018,1,0,1440708000,59331000,67355000,133682000,404979000,0,0,83
81,118693,0,0,0,810,1,2471,1443612,0,0,36820361,2474806,7542179,21986849,27867009,1,0,71
82,118888,0,0,1,1430,0,824,1757544,1,0,315223538,6956277,9581902,11889307,60424616,0,0,62
83,119173,0,1,0,1250,0,1986,5849867,1,0,325045397,8852246,16973252,31811898,86898628,0,0,75
84,120403,0,0,1,3180,0,2342,2028364,1,0,107442066,5528938,6832705,17687273,49376388,0,0,63
85,120537,0,1,1,1200,0,794,1097060,1,0,35581278,1567301,5865751,341159,21358222,0,0,85
